Country,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore,2000_netMigration,2005_netMigration,2010_netMigration,2015_netMigration,2020_netMigration
Morocco,0.18418631,0.18460338,0.22010374,0.26663122,0.27731362,7.213425,8.11233,8.844783,8.57317,8.8381815,5.88,6.04,6.33,6.47,6.44,-7.02923869,-7.92772662,-8.624679259999999,-8.306538779999999,-8.56086788
Mozambique,1.1049166,1.3110908,1.3023825,1.1899785,1.0841315,3.6383452,3.2348654,3.3903735,2.2074883,2.0481558,5.36,5.62,5.35,5.62,5.9,-2.5334285999999997,-1.9237746,-2.0879909999999997,-1.0175098,-0.9640243
Myanmar,0.20978518,0.1696121,0.15101334,0.13915716,0.14050044,2.6205435,3.5476863,4.925362,5.3957005,6.8218436,4.11,3.85,4.05,5.07,5.53,-2.4107583200000002,-3.3780742,-4.774348659999999,-5.25654334,-6.68134316
Namibia,7.5531197,5.538158,4.9000483,4.3897343,4.3051796,2.749831,3.3842778,4.7005563,2.1776311,1.8800306,5.98,6.17,6.1,6.25,6.12,4.8032886999999995,2.1538802,0.19949200000000022,2.2121031999999996,2.4251489999999998
Nepal,2.9986093,2.6441724,2.154091,1.8858796,1.6733611,4.0825024,5.009338,6.340221,8.403343,8.922395,5.78,6.15,5.93,6.36,6.28,-1.0838931,-2.3651655999999996,-4.1861299999999995,-6.5174634,-7.2490339
Netherlands,9.772188,10.607386,10.984344,11.785689,13.763352,4.69435,4.8301253,5.121331,5.1190686,5.663322,8.07,7.93,7.79,8.05,7.75,5.077838,5.7772607,5.8630130000000005,6.666620399999999,8.10003
New Zealand,17.590422,20.311495,21.68032,22.5318,28.653198,12.693056,13.433218,15.155765,15.993926,16.717546,8.81,8.68,8.51,8.83,8.49,4.897366,6.878277000000001,6.524554999999998,6.537874,11.935652000000001
Nicaragua,0.59947014,0.64204776,0.64121956,0.6469466,0.63652587,9.8932,10.214441,10.47742,10.534347,10.84079,6.73,6.94,6.93,6.87,6.5,-9.293729860000001,-9.57239324,-9.83620044,-9.8874004,-10.20426413
Niger,1.0789335,0.9138628,0.7682326,1.2648848,1.4378537,1.8111892,2.23191,2.0401876,1.8748091,1.651229,5.17,5.1,5.54,5.65,5.87,-0.7322557000000001,-1.3180472,-1.2719549999999997,-0.6099243000000001,-0.21337530000000005
Nigeria,0.39897498,0.69831413,0.6249047,0.6619918,0.63479704,0.49894568,0.5886234,0.6289551,0.7212898,0.8103514,4.82,5.74,5.71,6.3,6.24,-0.09997070000000002,0.10969072999999996,-0.0040504000000000095,-0.05929799999999996,-0.17555436000000002
